region,universe,decay,neutralization,delay,alpha_expr,sharpe,fitness,turnover,weight_concentration,failure_reason
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(-ts_corr(rank(volume), 20)",2.52,0.52,0.68,0.33,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(-ts_corr(rank(volume), 20)",0.09,1.69,0.89,0.6,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(-ts_corr(rank(volume), 4)",2.33,0.13,0.27,0.67,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(-ts_corr(rank(volume), 8)",0.75,1.75,0.6,0.29,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,rank(ts_std_dev(returns,2.37,0.77,0.15,0.09,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_std_dev(returns, 5)",0.14,1.94,0.34,0.66,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_std_dev(returns, 5)",1.59,0.99,0.72,0.87,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_std_dev(returns, 10)",0.54,1.54,0.57,0.1,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_std_dev(returns, 10)",0.99,1.79,0.81,0.24,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_std_dev(returns, 20)",1.05,0.65,0.0,0.3,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_std_dev(returns, 20)",2.4,0.8,0.28,0.03,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_std_dev(returns, 2)",1.79,0.19,0.54,0.7,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_std_dev(returns, 4)",0.09,1.09,0.81,0.66,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_std_dev(returns, 8)",1.14,0.94,0.83,0.84,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,rank(ts_rank(close),2.13,0.73,0.89,0.78,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_rank(close), 5)",0.06,1.26,0.25,0.48,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_rank(close), 5)",1.67,1.47,0.61,0.52,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_rank(close), 10)",1.36,0.76,0.52,0.2,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_rank(close), 10)",1.2,0.4,0.32,0.2,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_rank(close), 20)",0.65,0.85,0.85,0.93,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_rank(close), 2)",1.9,1.1,0.81,0.71,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,zscore(ts_rank(close),0.81,0.61,0.1,0.58,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(ts_rank(close), 5)",0.44,0.64,0.52,0.27,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 10)",2.37,2.17,0.88,0.26,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(ts_rank(close), 10)",-0.15,1.85,0.43,0.23,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 20)",0.88,0.88,0.58,0.12,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(ts_rank(close), 20)",1.58,0.78,0.85,0.69,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(ts_rank(close), 2)",1.25,0.45,0.55,0.79,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(ts_rank(close), 4)",1.51,0.91,0.33,0.98,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(ts_rank(close, 10), 10)",1.32,0.32,0.77,0.2,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(ts_rank(close, 10), 10)",2.39,0.59,0.45,0.85,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(ts_rank(close, 10), 20)",0.5,1.1,0.74,0.45,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(ts_rank(close, 10), 2)",0.28,1.68,0.45,0.08,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(ts_rank(close, 10), 8)",0.71,0.31,0.25,0.64,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(ts_rank(close, 20), 5)",0.47,1.07,0.65,0.09,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(ts_rank(close, 20), 5)",2.42,0.82,0.76,0.09,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(ts_rank(close, 20), 10)",1.78,0.98,0.79,0.05,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(ts_rank(close, 20), 10)",0.67,0.27,0.63,0.46,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(ts_rank(close, 20), 20)",1.74,0.74,0.57,0.46,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(ts_rank(close, 20), 2)",-0.16,1.64,0.22,0.76,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,rank(rank(close-open)),-0.04,0.76,0.79,0.77,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 5)",0.45,1.65,0.05,0.5,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(close-open)), 10)",2.26,1.46,0.82,0.9,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 10)",2.33,0.13,0.19,0.09,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(close-open)), 20)",0.48,0.28,0.39,0.33,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 20)",1.08,1.08,0.39,0.19,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(close-open)), 2)",0.07,0.67,0.63,0.6,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(close-open)), 4)",2.66,0.46,0.49,0.81,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,zscore(rank(close-open)),-0.18,1.82,0.68,0.17,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(close-open)), 5)",0.11,1.31,0.04,0.37,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(close-open)), 5)",0.5,0.7,0.31,0.33,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(close-open)), 10)",1.7,1.3,0.7,0.87,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(close-open)), 10)",2.25,0.85,0.13,0.67,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(close-open)), 20)",0.32,1.92,0.33,0.97,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(close-open)), 20)",2.42,2.02,0.8,0.91,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(close-open)), 2)",-0.15,1.45,0.13,0.12,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(close-open)), 4)",1.77,0.97,0.83,0.17,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(close-open)), 8)",2.01,1.61,0.61,0.07,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(close-open), 10), 5)",0.79,1.39,0.35,0.7,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(close-open), 10), 10)",0.76,1.36,0.13,0.76,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(close-open), 10), 10)",1.85,0.45,0.12,0.88,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(close-open), 10), 20)",2.21,0.41,0.6,0.61,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(close-open), 10), 2)",0.18,1.58,0.44,0.43,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(close-open), 10), 4)",1.02,2.02,0.0,0.95,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(close-open), 10), 8)",0.36,2.16,0.33,0.68,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(close-open), 20), 5)",0.93,1.73,0.29,0.65,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 5)",-0.2,2.0,0.64,0.17,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 10)",1.02,1.02,0.13,0.48,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(close-open), 20), 20)",0.3,0.1,0.75,0.38,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 20)",0.43,0.23,0.77,0.62,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(close-open), 20), 4)",1.12,0.12,0.83,0.43,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,rank(-ts_corr(rank(volume)),2.15,0.35,0.46,0.96,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(-ts_corr(rank(volume)), 5)",0.54,1.14,0.14,0.45,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(-ts_corr(rank(volume)), 10)",0.46,0.46,0.13,0.21,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(-ts_corr(rank(volume)), 10)",2.49,0.49,0.29,0.92,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(-ts_corr(rank(volume)), 20)",1.19,1.39,0.54,0.08,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(-ts_corr(rank(volume)), 20)",-0.05,0.55,0.06,0.42,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(-ts_corr(rank(volume)), 2)",1.89,0.89,0.89,0.0,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(-ts_corr(rank(volume)), 5)",0.99,1.59,0.17,0.18,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(-ts_corr(rank(volume)), 5)",-0.04,2.16,0.49,0.42,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(-ts_corr(rank(volume)), 10)",0.04,1.24,0.03,0.77,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(-ts_corr(rank(volume)), 10)",1.17,2.17,0.06,0.66,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(-ts_corr(rank(volume)), 20)",-0.06,0.74,0.66,0.12,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(-ts_corr(rank(volume)), 20)",1.11,1.11,0.18,0.66,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(-ts_corr(rank(volume)), 2)",2.77,1.77,0.89,0.82,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(-ts_corr(rank(volume)), 4)",0.21,0.01,0.23,0.31,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(-ts_corr(rank(volume)), 8)",1.92,0.52,0.3,0.24,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 5)",-0.08,2.12,0.4,0.59,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 10)",2.72,0.32,0.76,0.76,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(-ts_corr(rank(volume), 10), 20)",0.85,0.45,0.66,0.53,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 20)",0.76,1.76,0.0,0.17,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(-ts_corr(rank(volume), 10), 2)",0.63,0.43,0.59,0.28,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(-ts_corr(rank(volume), 10), 4)",0.33,2.13,0.37,0.09,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(-ts_corr(rank(volume), 10), 8)",1.2,0.2,0.84,0.14,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 5)",0.13,1.73,0.3,0.01,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(-ts_corr(rank(volume), 20), 5)",2.19,0.39,0.47,0.08,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 10)",-0.01,0.19,0.02,0.12,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 20)",1.27,0.67,0.72,0.61,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 2)",1.77,1.97,0.75,0.58,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 4)",-0.18,1.62,0.38,0.11,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 8)",1.73,0.73,0.1,0.81,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,rank(rank(ts_std_dev(returns),1.15,2.15,0.02,0.84,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(ts_std_dev(returns), 5)",0.27,0.07,0.28,0.26,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(ts_std_dev(returns), 10)",0.8,1.0,0.1,0.23,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(ts_std_dev(returns), 10)",1.76,0.36,0.28,0.11,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(ts_std_dev(returns), 20)",0.73,0.93,0.09,0.4,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(ts_std_dev(returns), 4)",2.6,0.8,0.87,0.57,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(rank(rank(ts_std_dev(returns), 8)",1.25,1.45,0.72,0.26,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,zscore(rank(ts_std_dev(returns),-0.17,0.23,0.17,0.64,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(ts_std_dev(returns), 5)",1.59,0.19,0.21,0.39,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(ts_std_dev(returns), 10)",1.14,0.54,0.79,0.6,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(zscore(rank(ts_std_dev(returns), 10)",0.23,2.03,0.14,0.31,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(ts_std_dev(returns), 20)",0.48,0.68,0.44,0.27,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 2)",-0.03,0.37,0.75,0.71,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 4)",1.86,0.66,0.08,0.82,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 8)",1.7,0.3,0.61,0.81,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 5)",0.69,1.49,0.81,0.64,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 10)",0.35,1.55,0.37,0.62,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 10)",1.42,0.62,0.78,0.91,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 20)",0.11,1.11,0.6,0.13,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 20)",2.02,0.62,0.83,0.89,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 2)",0.27,0.87,0.02,0.32,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 4)",2.24,1.44,0.86,0.96,high_turnover
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 8)",1.51,0.51,0.58,0.74,low_fitness
USA,TOP3000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 5)",-0.2,0.2,0.21,0.7,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 5)",-0.05,1.15,0.36,0.71,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 10)",0.05,2.05,0.63,0.36,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 20)",-0.08,2.12,0.57,0.06,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(ts_std_dev(returns, 20), 2)",-0.18,2.02,0.17,0.53,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(ts_std_dev(returns, 20), 4)",-0.14,0.06,0.09,0.88,low_sharpe
USA,TOP3000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(rank(ts_std_dev(returns, 20), 8)",2.46,0.66,0.42,0.62,low_fitness
USA,TOP3000,4,SECTOR,1,ts_rank(close,0.47,0.67,0.22,0.27,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(close, 5)",1.45,0.25,0.23,0.62,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(close, 10)",0.58,0.58,0.66,0.51,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(close, 10)",0.37,0.57,0.55,0.56,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(close, 20)",1.69,0.69,0.18,0.75,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(close, 20)",-0.11,1.09,0.61,0.18,low_sharpe
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_rank(close, 2)",0.8,0.0,0.87,0.29,low_sharpe
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_rank(close, 4)",0.0,0.4,0.07,0.3,low_sharpe
USA,TOP3000,4,SECTOR,1,rank(close-open),2.57,0.77,0.82,0.51,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(close-open), 5)",1.18,1.58,0.32,0.61,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(close-open), 5)",2.76,0.56,0.38,0.46,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(close-open), 10)",0.47,1.87,0.18,0.15,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(close-open), 20)",1.05,2.05,0.86,0.66,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(close-open), 20)",1.88,0.48,0.85,0.71,low_fitness
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(close-open), 4)",1.1,0.3,0.01,0.19,low_sharpe
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(close-open), 8)",2.67,0.47,0.15,0.93,low_fitness
USA,TOP3000,4,SECTOR,1,-ts_corr(rank(volume),1.16,0.16,0.66,0.02,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_rank(-ts_corr(rank(volume), 5)",0.75,1.55,0.05,0.17,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(-ts_corr(rank(volume), 10)",0.7,0.5,0.85,0.75,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_rank(-ts_corr(rank(volume), 10)",0.78,0.38,0.35,0.94,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_rank(-ts_corr(rank(volume), 20)",2.59,0.19,0.69,0.39,low_fitness
USA,TOP3000,4,SECTOR,1,"decay_linear(-ts_corr(rank(volume), 4)",2.55,0.95,0.0,0.39,low_fitness
USA,TOP3000,4,SECTOR,1,"decay_linear(-ts_corr(rank(volume), 8)",1.42,0.82,0.87,0.68,low_fitness
USA,TOP3000,4,SECTOR,1,rank(ts_std_dev(returns,2.75,0.15,0.07,0.52,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(ts_std_dev(returns, 5)",0.42,1.22,0.34,0.62,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(ts_std_dev(returns, 10)",2.77,0.37,0.25,0.7,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(ts_std_dev(returns, 10)",0.96,1.36,0.29,0.18,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(ts_std_dev(returns, 20)",1.63,0.83,0.3,0.99,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(ts_std_dev(returns, 20)",1.97,2.17,0.69,0.01,high_turnover
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(ts_std_dev(returns, 4)",2.05,0.45,0.53,0.6,low_fitness
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(ts_std_dev(returns, 8)",1.18,0.58,0.54,0.66,low_sharpe
USA,TOP3000,4,SECTOR,1,rank(ts_rank(close),1.28,1.88,0.89,0.32,high_turnover
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(ts_rank(close), 5)",0.75,0.15,0.3,0.87,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(ts_rank(close), 10)",-0.04,0.56,0.62,0.42,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(ts_rank(close), 20)",1.28,0.28,0.81,0.26,low_fitness
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(ts_rank(close), 2)",-0.1,0.7,0.1,0.35,low_sharpe
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(ts_rank(close), 4)",-0.19,0.21,0.08,0.47,low_sharpe
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(ts_rank(close), 8)",0.15,1.75,0.43,0.78,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_mean(zscore(ts_rank(close), 5)",1.83,0.03,0.03,0.06,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_rank(zscore(ts_rank(close), 5)",2.26,1.66,0.82,0.2,high_turnover
USA,TOP3000,4,SECTOR,1,"ts_mean(zscore(ts_rank(close), 10)",0.51,1.71,0.4,0.74,low_sharpe
USA,TOP3000,4,SECTOR,1,"ts_rank(zscore(ts_rank(close), 10)",1.49,1.49,0.62,0.21,high_turnover
USA,TOP3000,4,SECTOR,1,"ts_mean(zscore(ts_rank(close), 20)",1.29,0.89,0.89,0.08,low_fitness
USA,TOP3000,4,SECTOR,1,"ts_rank(zscore(ts_rank(close), 20)",0.92,0.52,0.46,0.77,low_sharpe
USA,TOP3000,4,SECTOR,1,"decay_linear(zscore(ts_rank(close), 2)",0.69,0.29,0.81,0.93,low_sharpe
