region,universe,decay,neutralization,delay,alpha_expr,sharpe,fitness,turnover,weight_concentration
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(close, 5)",2.64,1.44,0.4,0.57
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_rank(close, 8)",1.9,1.3,0.34,0.71
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(close-open), 10)",1.83,1.43,0.03,0.17
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(close-open), 2)",1.91,1.11,0.25,0.59
USA,TOP3000,4,SECTOR,1,"ts_mean(-ts_corr(rank(volume), 5)",1.46,2.06,0.28,0.5
USA,TOP3000,4,SECTOR,1,"ts_mean(-ts_corr(rank(volume), 20)",2.65,1.65,0.15,0.4
USA,TOP3000,4,SECTOR,1,"decay_linear(-ts_corr(rank(volume), 2)",1.66,1.86,0.22,0.63
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(ts_std_dev(returns, 5)",2.1,1.7,0.37,0.07
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(ts_std_dev(returns, 2)",2.02,1.62,0.36,0.48
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(ts_rank(close), 5)",1.58,1.98,0.46,0.04
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(ts_rank(close), 10)",1.93,1.13,0.6,0.94
USA,TOP3000,4,SECTOR,1,"ts_rank(rank(ts_rank(close), 20)",1.68,2.08,0.26,0.28
USA,TOP3000,4,SECTOR,1,zscore(ts_rank(close),2.1,2.1,0.45,0.84
USA,TOP3000,4,SECTOR,1,"decay_linear(zscore(ts_rank(close), 4)",1.39,1.79,0.44,0.27
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_mean(ts_rank(close, 10), 5)",2.24,1.04,0.3,0.43
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_mean(ts_rank(close, 10), 8)",2.52,1.92,0.47,0.1
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(ts_rank(close, 20), 5)",2.21,1.41,0.3,0.49
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(ts_rank(close, 20), 20)",1.89,2.09,0.38,0.12
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_rank(ts_rank(close, 20), 4)",1.32,1.32,0.43,0.32
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(rank(close-open)), 2)",1.28,1.28,0.42,0.73
USA,TOP3000,4,SECTOR,1,"decay_linear(rank(rank(close-open)), 4)",2.78,1.18,0.59,0.41
USA,TOP3000,4,SECTOR,1,"ts_rank(zscore(rank(close-open)), 5)",2.04,2.04,0.06,0.07
USA,TOP3000,4,SECTOR,1,"ts_rank(zscore(rank(close-open)), 10)",2.62,1.62,0.01,0.22
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_mean(rank(close-open), 10), 10)",2.26,1.86,0.52,0.73
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_mean(rank(close-open), 10), 20)",2.61,1.41,0.4,0.63
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(rank(close-open), 20), 5)",2.06,1.46,0.23,0.19
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(rank(close-open), 20), 10)",2.36,1.16,0.4,0.09
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(rank(close-open), 20), 20)",1.59,2.19,0.42,0.1
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(-ts_corr(rank(volume)), 5)",1.34,2.14,0.3,0.38
USA,TOP3000,4,SECTOR,1,"ts_mean(rank(-ts_corr(rank(volume)), 20)",2.55,2.15,0.35,0.1
USA,TOP3000,4,SECTOR,1,"ts_mean(zscore(-ts_corr(rank(volume)), 5)",2.51,1.51,0.13,0.15
USA,TOP3000,4,SECTOR,1,"ts_rank(zscore(-ts_corr(rank(volume)), 5)",2.52,1.52,0.13,0.86
USA,TOP3000,4,SECTOR,1,"decay_linear(zscore(-ts_corr(rank(volume)), 2)",1.62,1.82,0.26,0.22
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_mean(-ts_corr(rank(volume), 10), 5)",2.47,1.47,0.12,0.45
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 5)",1.51,1.11,0.54,0.74
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 20)",1.61,1.01,0.17,0.87
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_mean(-ts_corr(rank(volume), 10), 4)",2.34,1.54,0.06,0.09
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 5)",2.73,2.13,0.16,0.23
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 20)",2.43,2.03,0.07,0.09
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(-ts_corr(rank(volume), 20), 20)",1.57,1.37,0.46,0.16
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 2)",2.72,1.32,0.58,0.81
USA,TOP3000,4,SECTOR,1,"ts_mean(zscore(rank(ts_std_dev(returns), 5)",1.44,1.44,0.1,0.8
USA,TOP3000,4,SECTOR,1,"ts_rank(zscore(rank(ts_std_dev(returns), 10)",1.57,1.57,0.33,0.98
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 10)",1.31,1.71,0.25,0.32
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 10)",1.32,2.12,0.6,0.44
USA,TOP3000,4,SECTOR,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 8)",1.35,1.55,0.09,0.44
USA,TOP3000,4,SECTOR,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 20)",1.37,1.37,0.22,0.73
USA,TOP3000,4,SECTOR,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 20)",1.5,1.9,0.45,0.39
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(ts_rank(close, 5)",1.85,1.85,0.12,0.82
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(ts_rank(close, 20)",2.14,1.34,0.07,0.96
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(rank(ts_rank(close), 5)",1.68,1.88,0.31,0.34
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(rank(ts_rank(close), 20)",2.58,1.18,0.26,0.51
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(rank(ts_rank(close), 4)",1.77,2.17,0.15,0.11
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 5)",1.9,2.1,0.47,0.77
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(zscore(ts_rank(close), 10)",1.63,1.03,0.0,0.1
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(zscore(ts_rank(close), 8)",2.02,1.42,0.1,0.18
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(ts_mean(ts_rank(close, 10), 5)",1.29,1.29,0.21,0.49
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(ts_rank(ts_rank(close, 20), 10)",1.53,1.13,0.03,0.27
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(ts_rank(ts_rank(close, 20), 10)",2.71,1.31,0.33,0.81
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(ts_rank(ts_rank(close, 20), 8)",2.06,1.06,0.06,0.83
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 5)",1.96,1.76,0.3,0.36
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(rank(rank(close-open)), 20)",2.35,1.15,0.1,0.26
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 20)",2.03,1.43,0.53,0.6
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(zscore(rank(close-open)), 20)",1.45,1.65,0.23,0.09
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(zscore(rank(close-open)), 4)",1.44,1.64,0.4,0.97
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(close-open), 20), 5)",1.96,1.56,0.05,0.89
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 5)",2.27,1.87,0.13,0.02
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 10)",2.28,1.88,0.26,0.26
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(rank(-ts_corr(rank(volume)), 20)",2.2,1.2,0.21,0.61
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(rank(-ts_corr(rank(volume)), 4)",2.77,1.97,0.12,0.17
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(zscore(-ts_corr(rank(volume)), 5)",2.28,2.08,0.31,0.2
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(zscore(-ts_corr(rank(volume)), 4)",2.51,2.11,0.17,0.86
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(ts_mean(-ts_corr(rank(volume), 10), 5)",2.63,1.43,0.14,0.34
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(ts_rank(-ts_corr(rank(volume), 20), 5)",2.16,2.16,0.03,0.66
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 4)",1.65,1.85,0.52,0.16
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(rank(rank(ts_std_dev(returns), 5)",2.64,2.04,0.19,0.63
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(zscore(rank(ts_std_dev(returns), 20)",2.51,1.11,0.3,0.98
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 2)",2.44,1.84,0.33,0.33
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 8)",2.41,1.01,0.24,0.44
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 10)",1.56,1.76,0.59,0.04
USA,TOP3000,8,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(ts_std_dev(returns, 10), 8)",1.26,1.46,0.46,0.96
USA,TOP3000,8,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(ts_std_dev(returns, 20), 10)",2.1,1.3,0.07,0.31
USA,TOP3000,8,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 20)",2.72,1.32,0.16,0.11
USA,TOP3000,8,SECTOR,1,"ts_mean(ts_rank(close, 5)",2.72,2.12,0.41,0.34
USA,TOP3000,8,SECTOR,1,"ts_rank(ts_rank(close, 20)",2.54,1.74,0.47,0.16
USA,TOP3000,8,SECTOR,1,"decay_linear(ts_rank(close, 2)",1.67,1.07,0.18,0.69
USA,TOP3000,8,SECTOR,1,"decay_linear(ts_rank(close, 8)",2.69,1.09,0.58,0.93
USA,TOP3000,8,SECTOR,1,"ts_mean(rank(close-open), 10)",1.68,1.88,0.22,0.22
USA,TOP3000,8,SECTOR,1,"ts_mean(rank(close-open), 20)",1.43,1.43,0.14,0.09
USA,TOP3000,8,SECTOR,1,-ts_corr(rank(volume),2.48,1.08,0.12,0.15
USA,TOP3000,8,SECTOR,1,"ts_mean(rank(ts_std_dev(returns, 5)",1.39,1.99,0.39,0.85
USA,TOP3000,8,SECTOR,1,"decay_linear(rank(ts_std_dev(returns, 8)",1.86,1.06,0.55,0.35
USA,TOP3000,8,SECTOR,1,"decay_linear(rank(ts_rank(close), 8)",2.38,1.58,0.45,0.85
USA,TOP3000,8,SECTOR,1,"ts_rank(zscore(ts_rank(close), 10)",2.78,2.18,0.51,0.05
USA,TOP3000,8,SECTOR,1,"ts_rank(ts_mean(ts_rank(close, 10), 10)",1.78,1.18,0.24,0.64
USA,TOP3000,8,SECTOR,1,"decay_linear(ts_mean(ts_rank(close, 10), 4)",2.68,1.48,0.06,0.93
USA,TOP3000,8,SECTOR,1,"ts_mean(rank(rank(close-open)), 5)",1.99,1.39,0.44,0.07
USA,TOP3000,8,SECTOR,1,"ts_mean(rank(rank(close-open)), 20)",1.45,1.85,0.4,0.27
USA,TOP3000,8,SECTOR,1,"decay_linear(rank(rank(close-open)), 8)",2.7,1.3,0.45,0.28
USA,TOP3000,8,SECTOR,1,"ts_mean(zscore(rank(close-open)), 5)",2.21,1.21,0.51,0.02
USA,TOP3000,8,SECTOR,1,"ts_rank(zscore(rank(close-open)), 5)",1.29,1.49,0.51,0.26
USA,TOP3000,8,SECTOR,1,"decay_linear(ts_rank(rank(close-open), 20), 2)",1.75,2.15,0.45,0.7
USA,TOP3000,8,SECTOR,1,"ts_rank(rank(-ts_corr(rank(volume)), 10)",1.95,1.35,0.05,0.24
USA,TOP3000,8,SECTOR,1,"ts_mean(rank(-ts_corr(rank(volume)), 20)",1.47,2.07,0.11,0.68
USA,TOP3000,8,SECTOR,1,"ts_rank(rank(-ts_corr(rank(volume)), 20)",2.1,1.1,0.54,0.13
USA,TOP3000,8,SECTOR,1,"decay_linear(rank(-ts_corr(rank(volume)), 8)",1.72,2.12,0.44,0.81
USA,TOP3000,8,SECTOR,1,"decay_linear(zscore(-ts_corr(rank(volume)), 4)",2.44,1.64,0.16,0.8
USA,TOP3000,8,SECTOR,1,"decay_linear(zscore(-ts_corr(rank(volume)), 8)",2.24,1.84,0.56,0.32
USA,TOP3000,8,SECTOR,1,"ts_rank(rank(rank(ts_std_dev(returns), 20)",1.82,1.42,0.24,0.82
USA,TOP3000,8,SECTOR,1,"decay_linear(rank(rank(ts_std_dev(returns), 2)",1.83,2.03,0.37,0.35
USA,TOP3000,8,SECTOR,1,"decay_linear(rank(rank(ts_std_dev(returns), 4)",1.82,1.02,0.46,0.64
USA,TOP3000,8,SECTOR,1,"ts_mean(zscore(rank(ts_std_dev(returns), 5)",1.92,1.12,0.38,0.94
USA,TOP3000,8,SECTOR,1,"ts_rank(zscore(rank(ts_std_dev(returns), 20)",1.37,1.37,0.26,0.26
USA,TOP3000,8,SECTOR,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 5)",1.31,1.11,0.0,0.2
USA,TOP3000,8,SECTOR,1,"ts_rank(ts_mean(rank(ts_std_dev(returns, 10), 20)",2.56,1.36,0.56,0.33
USA,TOP3000,8,SECTOR,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 20)",2.39,1.19,0.15,0.68
USA,TOP3000,8,SECTOR,1,"decay_linear(ts_rank(rank(ts_std_dev(returns, 20), 2)",2.22,1.62,0.56,0.14
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(close-open), 2)",2.69,2.09,0.02,0.34
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(close-open), 8)",2.55,1.15,0.13,0.86
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(-ts_corr(rank(volume), 5)",2.09,1.29,0.58,0.01
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(-ts_corr(rank(volume), 5)",2.74,1.34,0.07,0.82
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(-ts_corr(rank(volume), 4)",2.08,1.48,0.28,0.84
USA,TOP1000,4,SUBINDUSTRY,1,rank(ts_std_dev(returns,2.57,1.77,0.48,0.51
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_std_dev(returns, 5)",1.93,1.53,0.56,0.89
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_std_dev(returns, 10)",1.2,1.8,0.11,0.9
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(ts_std_dev(returns, 20)",2.34,1.94,0.44,0.44
USA,TOP1000,4,SUBINDUSTRY,1,rank(ts_rank(close),1.73,1.13,0.1,0.23
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(ts_rank(close), 5)",1.42,1.62,0.01,0.62
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(ts_rank(close), 2)",1.46,2.06,0.1,0.15
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(ts_rank(close, 20), 5)",1.29,1.89,0.34,0.55
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(ts_rank(close, 20), 20)",1.99,1.79,0.18,0.65
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(ts_rank(close, 20), 4)",2.09,1.49,0.32,0.78
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(rank(close-open)), 5)",2.72,1.72,0.33,0.7
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(close-open)), 10)",1.88,1.88,0.12,0.82
USA,TOP1000,4,SUBINDUSTRY,1,zscore(rank(close-open)),1.54,2.14,0.59,0.27
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(close-open)), 20)",1.48,1.08,0.11,0.51
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(close-open), 10), 5)",2.44,1.64,0.12,0.03
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(close-open), 10), 2)",1.88,1.68,0.42,0.47
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(rank(close-open), 10), 4)",1.82,1.42,0.46,0.06
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(close-open), 20), 5)",2.22,1.02,0.47,0.78
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 10)",2.22,1.22,0.47,0.67
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(rank(close-open), 20), 20)",1.23,1.23,0.41,0.73
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(rank(-ts_corr(rank(volume)), 10)",2.34,1.14,0.4,0.32
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(-ts_corr(rank(volume)), 2)",2.68,1.08,0.24,0.81
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(rank(-ts_corr(rank(volume)), 8)",1.38,1.98,0.01,0.91
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(-ts_corr(rank(volume)), 10)",1.49,1.29,0.07,0.04
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(zscore(-ts_corr(rank(volume)), 20)",2.72,1.72,0.58,0.05
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(-ts_corr(rank(volume), 10), 20)",2.46,1.46,0.42,0.45
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_mean(-ts_corr(rank(volume), 10), 4)",1.7,2.1,0.1,0.52
USA,TOP1000,4,SUBINDUSTRY,1,"ts_rank(ts_rank(-ts_corr(rank(volume), 20), 10)",1.22,1.02,0.33,0.02
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(ts_rank(-ts_corr(rank(volume), 20), 2)",1.55,1.15,0.42,0.22
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(rank(rank(ts_std_dev(returns), 10)",1.51,1.11,0.2,0.57
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(zscore(rank(ts_std_dev(returns), 20)",2.51,2.11,0.25,0.92
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 4)",1.61,2.01,0.25,0.1
USA,TOP1000,4,SUBINDUSTRY,1,"decay_linear(zscore(rank(ts_std_dev(returns), 8)",2.52,2.12,0.38,0.04
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_mean(rank(ts_std_dev(returns, 10), 5)",1.54,1.34,0.54,0.8
USA,TOP1000,4,SUBINDUSTRY,1,"ts_mean(ts_rank(rank(ts_std_dev(returns, 20), 5)",1.66,1.86,0.52,0.22
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_rank(close, 10)",2.33,1.33,0.53,0.91
USA,TOP1000,4,SECTOR,1,"decay_linear(ts_rank(close, 2)",2.0,2.0,0.18,0.77
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(close-open), 10)",1.81,1.61,0.5,0.05
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(close-open), 4)",1.2,1.0,0.28,0.61
USA,TOP1000,4,SECTOR,1,"ts_rank(-ts_corr(rank(volume), 5)",1.67,1.27,0.09,0.58
USA,TOP1000,4,SECTOR,1,"ts_rank(-ts_corr(rank(volume), 10)",2.21,2.01,0.43,0.08
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(ts_std_dev(returns, 10)",2.16,1.76,0.08,0.19
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(ts_rank(close), 20)",2.72,1.32,0.41,0.52
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(ts_rank(close), 8)",2.52,1.72,0.17,0.21
USA,TOP1000,4,SECTOR,1,"ts_mean(zscore(ts_rank(close), 5)",2.74,2.14,0.29,0.76
USA,TOP1000,4,SECTOR,1,"ts_rank(zscore(ts_rank(close), 5)",1.69,1.49,0.44,0.93
USA,TOP1000,4,SECTOR,1,"ts_mean(zscore(ts_rank(close), 20)",1.25,1.85,0.42,0.79
USA,TOP1000,4,SECTOR,1,"decay_linear(zscore(ts_rank(close), 8)",2.49,1.89,0.25,0.27
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_rank(ts_rank(close, 20), 10)",1.9,1.7,0.51,0.0
USA,TOP1000,4,SECTOR,1,"ts_mean(ts_rank(ts_rank(close, 20), 20)",2.02,2.02,0.57,0.42
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(rank(close-open)), 5)",2.24,1.24,0.22,0.37
USA,TOP1000,4,SECTOR,1,"ts_mean(rank(rank(close-open)), 10)",1.46,1.66,0.53,0.8
USA,TOP1000,4,SECTOR,1,"ts_rank(rank(rank(close-open)), 20)",1.45,1.45,0.45,0.92
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(rank(close-open)), 4)",2.47,1.87,0.42,0.15
USA,TOP1000,4,SECTOR,1,"decay_linear(rank(rank(close-open)), 8)",1.66,2.06,0.0,0.46
USA,TOP1000,4,SECTOR,1,zscore(rank(close-open)),1.88,1.28,0.25,0.53
USA,TOP1000,4,SECTOR,1,"ts_rank(zscore(rank(close-open)), 5)",2.36,1.96,0.32,0.62
